birth_YEAR,new_date,count(tripduration)
1899,2014-01-01,1
1899,2014-01-05,1
1899,2014-01-02,1
1900,2014-01-01,1
1900,2014-01-02,4
1900,2014-01-04,1
1917,2014-01-01,1
1917,2014-01-04,1
1922,2014-01-04,1
1927,2014-01-02,1
1932,2014-01-02,1
1933,2014-01-01,2
1934,2014-01-01,2
1934,2014-01-02,2
1935,2014-01-02,2
1936,2014-01-02,2
1936,2014-01-04,1
1938,2014-01-02,3
1938,2014-01-01,5
1939,2014-01-04,2
1939,2014-01-01,1
1939,2014-01-05,1
1939,2014-01-02,1
1940,2014-01-02,1
1940,2014-01-01,1
1940,2014-01-05,2
1941,2014-01-01,7
1941,2014-01-05,3
1941,2014-01-02,12
1941,2014-01-04,1
1942,2014-01-04,3
1942,2014-01-05,4
1942,2014-01-01,8
1942,2014-01-02,7
1942,2014-01-03,1
1943,2014-01-02,4
1943,2014-01-05,7
1943,2014-01-04,2
1943,2014-01-03,2
1943,2014-01-01,3
1944,2014-01-01,6
1944,2014-01-02,13
1944,2014-01-05,3
1945,2014-01-02,13
1945,2014-01-04,2
1945,2014-01-05,2
1945,2014-01-01,15
1946,2014-01-02,19
1946,2014-01-03,3
1946,2014-01-05,6
1946,2014-01-01,6
1946,2014-01-04,4
1947,2014-01-01,18
1947,2014-01-05,7
1947,2014-01-04,3
1947,2014-01-03,4
1947,2014-01-02,18
1948,2014-01-02,30
1948,2014-01-03,6
1948,2014-01-05,13
1948,2014-01-04,10
1948,2014-01-01,25
1949,2014-01-04,2
1949,2014-01-05,2
1949,2014-01-02,36
1949,2014-01-01,20
1950,2014-01-04,9
1950,2014-01-03,4
1950,2014-01-01,32
1950,2014-01-02,41
1950,2014-01-05,12
1951,2014-01-01,30
1951,2014-01-04,17
1951,2014-01-05,13
1951,2014-01-03,7
1951,2014-01-02,47
1952,2014-01-03,6
1952,2014-01-02,39
1952,2014-01-05,7
1952,2014-01-04,10
1952,2014-01-01,19
1953,2014-01-02,83
1953,2014-01-01,37
1953,2014-01-04,14
1953,2014-01-03,8
1953,2014-01-05,22
1954,2014-01-05,26
1954,2014-01-02,86
1954,2014-01-01,38
1954,2014-01-04,25
1954,2014-01-03,12
1955,2014-01-03,11
1955,2014-01-05,43
1955,2014-01-01,49
1955,2014-01-04,32
1955,2014-01-02,104
1956,2014-01-01,54
1956,2014-01-05,37
1956,2014-01-03,18
1956,2014-01-04,27
1956,2014-01-02,122
1957,2014-01-05,25
1957,2014-01-04,24
1957,2014-01-03,10
1957,2014-01-01,80
1957,2014-01-02,129
1958,2014-01-02,171
1958,2014-01-04,30
1958,2014-01-05,35
1958,2014-01-01,88
1958,2014-01-03,21
1959,2014-01-02,119
1959,2014-01-03,13
1959,2014-01-01,64
1959,2014-01-05,25
1959,2014-01-04,27
1960,2014-01-05,51
1960,2014-01-02,177
1960,2014-01-01,80
1960,2014-01-03,9
1960,2014-01-04,33
1961,2014-01-04,22
1961,2014-01-05,22
1961,2014-01-01,65
1961,2014-01-03,9
1961,2014-01-02,145
1962,2014-01-01,111
1962,2014-01-04,26
1962,2014-01-05,27
1962,2014-01-03,18
1962,2014-01-02,148
1963,2014-01-04,42
1963,2014-01-02,213
1963,2014-01-05,52
1963,2014-01-03,20
1963,2014-01-01,134
1964,2014-01-02,179
1964,2014-01-03,27
1964,2014-01-05,51
1964,2014-01-01,100
1964,2014-01-04,49
1965,2014-01-03,23
1965,2014-01-01,93
1965,2014-01-05,47
1965,2014-01-02,184
1965,2014-01-04,47
1966,2014-01-05,48
1966,2014-01-04,43
1966,2014-01-02,165
1966,2014-01-01,85
1966,2014-01-03,16
1967,2014-01-05,62
1967,2014-01-03,24
1967,2014-01-01,84
1967,2014-01-02,208
1967,2014-01-04,46
1968,2014-01-01,99
1968,2014-01-05,36
1968,2014-01-02,174
1968,2014-01-04,29
1968,2014-01-03,17
1969,2014-01-03,20
1969,2014-01-01,125
1969,2014-01-04,40
1969,2014-01-02,213
1969,2014-01-05,74
1970,2014-01-01,108
1970,2014-01-02,230
1970,2014-01-04,56
1970,2014-01-05,72
1970,2014-01-03,33
1971,2014-01-01,104
1971,2014-01-02,222
1971,2014-01-03,30
1971,2014-01-05,55
1971,2014-01-04,45
1972,2014-01-03,39
1972,2014-01-02,220
1972,2014-01-04,52
1972,2014-01-05,68
1972,2014-01-01,95
1973,2014-01-02,202
1973,2014-01-01,103
1973,2014-01-04,58
1973,2014-01-03,17
1973,2014-01-05,57
1974,2014-01-04,62
1974,2014-01-05,56
1974,2014-01-02,258
1974,2014-01-03,41
1974,2014-01-01,120
1975,2014-01-04,37
1975,2014-01-02,211
1975,2014-01-05,52
1975,2014-01-03,15
1975,2014-01-01,108
1976,2014-01-01,118
1976,2014-01-05,45
1976,2014-01-04,60
1976,2014-01-02,220
1976,2014-01-03,33
1977,2014-01-04,51
1977,2014-01-02,247
1977,2014-01-03,31
1977,2014-01-01,132
1977,2014-01-05,81
1978,2014-01-03,38
1978,2014-01-01,142
1978,2014-01-02,264
1978,2014-01-05,86
1978,2014-01-04,70
1979,2014-01-04,77
1979,2014-01-02,308
1979,2014-01-03,37
1979,2014-01-05,88
1979,2014-01-01,185
1980,2014-01-03,55
1980,2014-01-01,159
1980,2014-01-05,93
1980,2014-01-02,290
1980,2014-01-04,92
1981,2014-01-02,314
1981,2014-01-01,233
1981,2014-01-03,53
1981,2014-01-05,105
1981,2014-01-04,85
1982,2014-01-03,36
1982,2014-01-02,282
1982,2014-01-04,91
1982,2014-01-01,239
1982,2014-01-05,109
1983,2014-01-03,53
1983,2014-01-02,296
1983,2014-01-04,97
1983,2014-01-05,119
1983,2014-01-01,242
1984,2014-01-02,303
1984,2014-01-01,274
1984,2014-01-04,90
1984,2014-01-05,113
1984,2014-01-03,52
1985,2014-01-03,42
1985,2014-01-02,321
1985,2014-01-04,106
1985,2014-01-05,135
1985,2014-01-01,249
1986,2014-01-05,118
1986,2014-01-02,243
1986,2014-01-03,35
1986,2014-01-01,220
1986,2014-01-04,93
1987,2014-01-02,245
1987,2014-01-01,218
1987,2014-01-03,29
1987,2014-01-04,101
1987,2014-01-05,96
1988,2014-01-04,90
1988,2014-01-01,228
1988,2014-01-05,95
1988,2014-01-03,46
1988,2014-01-02,238
1989,2014-01-04,83
1989,2014-01-02,229
1989,2014-01-05,70
1989,2014-01-03,27
1989,2014-01-01,193
1990,2014-01-03,34
1990,2014-01-01,155
1990,2014-01-05,77
1990,2014-01-04,75
1990,2014-01-02,173
1991,2014-01-05,33
1991,2014-01-03,8
1991,2014-01-04,15
1991,2014-01-01,69
1991,2014-01-02,75
1992,2014-01-05,13
1992,2014-01-01,36
1992,2014-01-02,25
1992,2014-01-04,15
1992,2014-01-03,1
1993,2014-01-03,5
1993,2014-01-04,16
1993,2014-01-05,15
1993,2014-01-02,28
1993,2014-01-01,37
1994,2014-01-02,19
1994,2014-01-01,15
1994,2014-01-04,10
1994,2014-01-05,13
1994,2014-01-03,5
1995,2014-01-01,11
1995,2014-01-04,3
1995,2014-01-03,2
1995,2014-01-02,15
1995,2014-01-05,6
1996,2014-01-02,9
1996,2014-01-03,6
1996,2014-01-04,4
1996,2014-01-05,3
1996,2014-01-01,17
1997,2014-01-02,15
1997,2014-01-05,4
1997,2014-01-04,4
1997,2014-01-01,8
1997,2014-01-03,11
\\N,2014-01-04,29
\\N,2014-01-05,35
\\N,2014-01-02,181
\\N,2014-01-01,652
\\N,2014-01-03,21
